NUMERO	FECHA	CIA_KEY	CODIGO_CTE	CODIGO_VENDEDOR	FORMA_PAGO	OBSERVACION	MONEDA	VALOR_TOTAL_DET	STATUS	FECHA_IN	IN_POR	FECHA_MOD	MOD_POR	NUMERO_FACTURA	NUMERO_DOC_PAGO	SERIE_NCF_ASIGNADO	MONTO_BRUTO	PORC_DESCUENTO	MONTO_DESCUENTO	MONTO_INICIAL	NOMBRE_CLIENTE_GENERAL	MONTO_PAGADO	MONTO_CAMBIO	MONTO_TOTAL_ITBIS	MONTODESCGASTOSADMIN	MONTODESCITBISGASTOSADMIN	MONTODESCTRANSP	MONTODESCDIRTECNICA	MONTODESCITBISDIRTECNICA	MONTODESCIMPREVISTO	MONTODESCITBISIMPREVISTO
4319	01.01.2012, 00:00:00.000	1	22	2	7	Venta a Credito	1	290.00	A	22.10.2009, 12:06:49.000	[null]	[null]	[null]	754	[null]	3700	250.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4320	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	732.52	A	22.10.2009, 12:13:50.000	[null]	[null]	[null]	[null]	[null]	3701	732.52	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4321	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	131.22	A	22.10.2009, 12:14:38.000	[null]	[null]	[null]	[null]	[null]	3702	131.22	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4322	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	254.50	A	22.10.2009, 14:08:29.000	[null]	[null]	[null]	[null]	[null]	3703	254.50	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4323	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	156.60	A	22.10.2009, 14:23:59.000	[null]	[null]	[null]	[null]	[null]	3704	156.60	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4324	01.01.2012, 00:00:00.000	1	0	2	1	Venta Cash	1	31.46	A	23.10.2009, 08:56:29.000	[null]	[null]	[null]	[null]	[null]	3705	31.46	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4325	01.01.2012, 00:00:00.000	1	1	0	7	Venta a Credito	1	3978.81	A	26.10.2009, 23:28:38.000	[null]	[null]	[null]	755	[null]	3706	3430.01	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4326	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	3485.02	A	27.10.2009, 21:18:06.000	[null]	[null]	[null]	[null]	[null]	3707	3485.02	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4327	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	447.94	A	27.10.2009, 21:33:09.000	[null]	[null]	[null]	[null]	[null]	3708	447.94	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4328	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	1058.94	A	27.10.2009, 21:36:42.000	[null]	[null]	[null]	[null]	[null]	3709	1058.94	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4329	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	1647.38	A	27.10.2009, 21:41:35.000	[null]	[null]	[null]	[null]	[null]	3710	1647.38	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4330	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	1506.59	A	27.10.2009, 21:43:35.000	[null]	[null]	[null]	[null]	[null]	3711	1506.59	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4331	01.01.2012, 00:00:00.000	1	5	0	7	Venta a Credito	1	1450.00	A	27.10.2009, 22:38:28.000	[null]	[null]	[null]	756	[null]	3712	1250.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4332	01.01.2012, 00:00:00.000	1	1	0	1	Venta Cash	1	376.45	A	31.10.2009, 16:09:56.000	[null]	[null]	[null]	[null]	[null]	3713	376.45	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4333	01.01.2012, 00:00:00.000	1	0	0	1	Venta Cash	1	135.00	A	31.10.2009, 18:50:31.000	[null]	[null]	[null]	[null]	[null]	3714	135.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
4334	01.01.2012, 00:00:00.000	1	198	0	1	Venta Cash	1	80.00	A	31.10.2009, 19:01:27.000	[null]	[null]	[null]	[null]	[null]	3715	80.00	0	0.00	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]	[null]
